Contig	final_assembly.fasta/final_pure_reads_1.fastq RPKM
NODE_189_length_3750_cov_1.046646	18.805971
NODE_190_length_3748_cov_1.476388	43.904015
NODE_191_length_3747_cov_1.048619	10.266015
NODE_192_length_3742_cov_1.592531	18.27508
NODE_193_length_3741_cov_0.752352	15.042888
NODE_194_length_3734_cov_1.295259	19.172712
NODE_195_length_3733_cov_0.767332	23.18516
NODE_196_length_3712_cov_1.494282	40.10792
NODE_197_length_3700_cov_1.148055	24.64337
NODE_198_length_3696_cov_1.128607	15.418775
NODE_199_length_3693_cov_1.233595	26.040318
NODE_200_length_3690_cov_1.023295	19.59438
NODE_201_length_3685_cov_3.073637	110.71831
NODE_202_length_3680_cov_3.634393	55.942497
NODE_203_length_3677_cov_1.087042	16.757696
NODE_204_length_3676_cov_1.403494	19.281437
NODE_205_length_3654_cov_1.191664	20.859652
NODE_206_length_3650_cov_1.710758	34.64155
NODE_207_length_3645_cov_1.405060	28.044403
NODE_208_length_3645_cov_1.081296	27.164963
NODE_209_length_3642_cov_2.448933	68.55512
NODE_210_length_3642_cov_2.311238	71.391205
NODE_211_length_3629_cov_1.246431	26.99029
NODE_212_length_3614_cov_1.581876	23.061605
NODE_213_length_3595_cov_3.772203	69.25324
NODE_214_length_3591_cov_2.814954	60.602093
NODE_215_length_3584_cov_1.172115	34.583828
NODE_216_length_3581_cov_1.209612	31.62894
NODE_217_length_3579_cov_0.916860	16.61945
NODE_218_length_3566_cov_1.748473	33.85947
NODE_219_length_3558_cov_1.375109	17.51838
NODE_220_length_3557_cov_0.904082	11.515314
NODE_221_length_3556_cov_1.389618	24.339203
NODE_222_length_3552_cov_3.190073	53.94748
NODE_223_length_3547_cov_1.807602	58.040142
NODE_224_length_3546_cov_1.269377	17.276333
NODE_225_length_3542_cov_1.472035	23.630949
NODE_226_length_3541_cov_1.341828	15.087842
NODE_227_length_3535_cov_1.974765	39.49649
NODE_228_length_3532_cov_1.191483	32.571945
NODE_229_length_3527_cov_1.583235	23.428492
NODE_230_length_3524_cov_1.292906	27.086988
NODE_231_length_3523_cov_1.012956	21.9386
NODE_232_length_3522_cov_1.066274	28.72042
NODE_233_length_3519_cov_2.038915	44.433147
NODE_234_length_3517_cov_1.130678	14.07681
NODE_235_length_3513_cov_1.450679	52.822796
NODE_236_length_3510_cov_1.065031	21.106588
NODE_237_length_3510_cov_1.045522	19.685951
NODE_238_length_3509_cov_1.507983	25.17272
NODE_239_length_3498_cov_1.774548	48.874607
